,platform,genre,title,score
159,                                        PC,flight,Wings Over Europe: Cold War Gone Hot,62
160,                                        Xbox One,flight,Red Wings: Aces of the Sky,62
161,                                        Wii,flight,Heatseeker,62
162,                                        Xbox 360,flight,Heroes Over Europe,62
163,                                        iOS,flight,Ace Combat Xi: Skies of Incursion,61
164,                                        Xbox,flight,AirForce Delta Storm,61
165,                                        Xbox 360,flight,Air Conflicts: Secret Wars,61
166,                                        PC,flight,JetFighter IV: Fortress America,60
167,                                        PlayStation 4,flight,EVE: Gunjack,60
168,                                        PC,flight,IL-2 Sturmovik: Cliffs of Dover,60
169,                                        PlayStation 2,flight,Heatseeker,60
170,                                        PlayStation 2,flight,Lethal Skies Elite Pilot: Team SW,59
171,                                        iOS,flight,After Burner Climax,59
172,                                        GameCube,flight,Top Gun: Combat Zones,59
173,                                        Xbox 360,flight,Dogfight 1942,59
174,                                        PC,flight,Enemy Engaged 2,58
175,                                        PC,flight,Jane's Attack Squadron,58
176,                                        PlayStation 3,flight,Landit Bandit,57
177,                                        PC,flight,Vector Thrust,57
178,                                        Wii,flight,Blazing Angels: Squadrons of WWII,57
179,                                        PC,flight,JetFighter V: Homeland Protector,56
180,                                        Switch,flight,Warplanes: WW2 Dogfight,56
181,                                        PC,flight,Fair Strike,56
182,                                        Game Boy Advance,flight,Ace Combat Advance,56
183,                                        PC,flight,Dark Horizon,55
184,                                        PC,flight,Pearl Harbor: Zero Hour,55
185,                                        iOS,flight,Six O'Clock High,55
186,                                        PlayStation 3,flight,Ace Combat Infinity,54
187,                                        Xbox 360,flight,Top Gun: Hard Lock,54
188,                                        Xbox One,flight,Bow to Blood: Last Captain Standing,54
189,                                        PlayStation 2,flight,Rebel Raiders: Operation Nighthawk,53
190,                                        Switch,flight,Pilot Sports,53
191,                                        DS,flight,Time Ace,52
192,                                        PlayStation 3,flight,Air Conflicts: Secret Wars,51
193,                                        Wii U,flight,Disney Planes,51
194,                                        PlayStation 3,flight,Top Gun,49
195,                                        PSP,flight,Heatseeker,49
196,                                        Xbox 360,flight,Over G Fighters,49
197,                                        PC,flight,Whirlwind Over Vietnam,49
198,                                        DS,flight,Spitfire Heroes: Tales of the Royal Air Force,49
199,                                        Xbox 360,flight,Damage Inc.: Pacific Squadron WWII,49
200,                                        DS,flight,Top Gun,48
201,                                        PC,flight,JASF: Jane's Advanced Strike Fighters,48
202,                                        Wii,flight,Tom Clancy's HAWX 2,47
203,                                        DS,flight,Freedom Wings,46
204,                                        PC,flight,B-17 Gunner: Air War Over Germany,46
205,                                        Xbox 360,flight,JASF: Jane's Advanced Strike Fighters,45
206,                                        PC,flight,Flyboys Squadron,45
207,                                        PlayStation 3,flight,Damage Inc.: Pacific Squadron WWII,43
208,                                        PC,flight,Air Conflicts: Vietnam,43
209,                                        DS,flight,IL-2 Sturmovik: Birds of Prey,41
210,                                        PlayStation 3,flight,JASF: Jane's Advanced Strike Fighters,41
211,                                        Wii,flight,WWII Aces,41
212,                                        Wii,flight,Rebel Raiders: Operation Nighthawk,40
213,                                        DS,flight,B-17: Fortress in the Sky,38
214,                                        PSP,flight,Air Conflicts: Aces of World War II,36
215,                                        DS,flight,F24: Stealth Fighter,34
216,                                        Wii,flight,Copter Crisis,31
217,                                        PlayStation 4,flight,Air Conflicts: Vietnam Ultimate Edition,30
218,                                        Wii,flight,Blood Beach,18
