,platform,genre,title,score
125,                                        PlayStation 3,platformer,Trine 2,85
126,                                        Xbox 360,platformer,'Splosion Man,84
127,                                        PlayStation 2,platformer,Maximo: Ghosts to Glory,84
128,                                        Xbox 360,platformer,Outland,84
129,                                        PC,platformer,Giana Sisters: Twisted Dreams - Rise of the Owlverlord,84
130,                                        Wii U,platformer,Trine 2: Director's Cut,84
131,                                        PlayStation 3,platformer,Guacamelee!,84
132,                                        iOS,platformer,Mutant Mudds,84
133,                                        Game Boy Advance,platformer,Super Mario Advance,84
134,                                        Game Boy Advance,platformer,Classic NES Series: Super Mario Bros.,84
135,                                        DS,platformer,Dark Void Zero,84
136,                                        iOS,platformer,Apocalypse Max: Better Dead Than Undead,84
137,                                        Game Boy Advance,platformer,Rayman Advance,84
138,                                        Wii U,platformer,Mutant Mudds Deluxe,84
139,                                        PlayStation 4,platformer,Oddworld: Abe's Oddysee - New 'n' Tasty,84
140,                                        Wii U,platformer,New Super Mario Bros. U,84
141,                                        PC,platformer,Trine 2,84
142,                                        iOS,platformer,One Tap Hero,84
143,                                        PlayStation 2,platformer,Jak 3,84
144,                                        PlayStation 4,platformer,Trine 2: Complete Story,84
145,                                        PlayStation 2,platformer,Sly 3: Honor Among Thieves,83
146,                                        Wii U,platformer,1001 Spikes,83
147,                                        PSP,platformer,LocoRoco,83
148,                                        3DS,platformer,Donkey Kong Country Returns 3D,83
149,                                        Xbox 360,platformer,N+,83
150,                                        Wii,platformer,Mega Man 9,83
151,                                        Nintendo 64,platformer,Space Station Silicon Valley,83
152,                                        PSP,platformer,Crush,83
153,                                        PC,platformer,Terraria,83
154,                                        PC,platformer,Tales From Space: Mutant Blobs Attack,83
155,                                        PlayStation Vita,platformer,Oddworld: Abe's Oddysee - New 'n' Tasty,83
156,                                        PlayStation 3,platformer,Ratchet & Clank Collection,83
157,                                        PlayStation 3,platformer,Outland,83
158,                                        PlayStation 3,platformer,Skylanders Swap Force,83
159,                                        Game Boy Advance,platformer,Sonic Advance 2,83
160,                                        Game Boy Advance,platformer,Rayman 3,83
161,                                        PC,platformer,Valdis Story: Abyssal City,83
162,                                        PlayStation Vita,platformer,Gravity Rush,83
163,                                        Xbox 360,platformer,Ms. 'Splosion Man,83
164,                                        DS,platformer,Contra 4,83
165,                                        PC,platformer,Cave Story Plus,83
166,                                        Wii,platformer,And Yet It Moves,83
167,                                        DS,platformer,Kirby Mass Attack,83
168,                                        3DS,platformer,VVVVVV,83
169,                                        PC,platformer,Broforce,83
170,                                        PlayStation 3,platformer,Spelunky,83
171,                                        Xbox 360,platformer,Skylanders Swap Force,83
172,                                        Wii U,platformer,Donkey Kong Country: Tropical Freeze,83
173,                                        PlayStation 2,platformer,Maximo vs Army of Zin,83
174,                                        3DS,platformer,Cave Story 3D,82
175,                                        iOS,platformer,Dynamite Jack,82
176,                                        PlayStation Vita,platformer,Shantae: Half-Genie Hero,82
177,                                        DS,platformer,Mario vs. Donkey Kong: Minis March Again!,82
178,                                        PlayStation 4,platformer,N++,82
179,                                        Xbox 360,platformer,Sonic CD,82
180,                                        PSP,platformer,Mega Man Powered Up,82
181,                                        Game Boy Advance,platformer,Mega Man Zero,82
182,                                        PlayStation 2,platformer,Ape Escape 2,82
183,                                        3DS,platformer,Shantae and the Pirate's Curse,82
184,                                        DS,platformer,Henry Hatsworth in the Puzzling Adventure,82
185,                                        3DS,platformer,Skylanders: Spyro's Adventure,82
186,                                        Xbox 360,platformer,Mega Man 9,82
187,                                        DS,platformer,Sonic Rush,82
188,                                        Wii,platformer,NyxQuest: Kindred Spirits,82
189,                                        Xbox 360,platformer,Prince of Persia Classic,82
190,                                        3DS,platformer,SteamWorld Dig,82
191,                                        DS,platformer,N+,82
192,                                        Xbox 360,platformer,Sonic the Hedgehog 2,82
193,                                        Game Boy Advance,platformer,Ninja Five-O,82
194,                                        iOS,platformer,Cordy,82
195,                                        Wii,platformer,de Blob,82
196,                                        PlayStation 3,platformer,Closure,81
197,                                        Wii,platformer,Mega Man 10,81
198,                                        Wii U,platformer,Oddworld: Abe's Oddysee - New 'n' Tasty,81
199,                                        PSP,platformer,Where is My Heart?,81
200,                                        Game Boy Advance,platformer,Drill Dozer,81
201,                                        PC,platformer,VVVVVV,81
202,                                        iOS,platformer,Dark Void Zero,81
203,                                        iOS,platformer,Knight's Rush,81
204,                                        Game Boy Advance,platformer,Mega Man Zero 2,81
205,                                        PlayStation Vita,platformer,Stick it to the Man!,81
206,                                        iOS,platformer,Icycle: On Thin Ice,81
207,                                        PC,platformer,Vessel,81
208,                                        GameCube,platformer,Mega Man Anniversary Collection,81
209,                                        PlayStation 3,platformer,Jak and Daxter Collection,81
210,                                        PlayStation 3,platformer,Terraria,81
211,                                        PC,platformer,King Arthur's Gold,81
212,                                        PlayStation 4,platformer,Shantae: Half-Genie Hero,81
213,                                        DS,platformer,Yoshi's Island DS,81
214,                                        iOS,platformer,Disney Castle of Illusion starring Mickey Mouse,81
215,                                        Game Boy Advance,platformer,Kirby: Nightmare in Dream Land,81
216,                                        PC,platformer,Rochard,81
217,                                        Xbox 360,platformer,Terraria,81
218,                                        PC,platformer,PixelJunk Eden,81
219,                                        Wii,platformer,LostWinds,81
220,                                        Wii,platformer,Sonic the Hedgehog 4: Episode I,81
221,                                        Game Boy Advance,platformer,Mario vs. Donkey Kong,81
222,                                        PlayStation Vita,platformer,1001 Spikes,81
223,                                        Xbox One,platformer,Valiant Hearts: The Great War,81
224,                                        3DS,platformer,3D Sonic the Hedgehog,81
225,                                        Wii,platformer,Skylanders: Spyro's Adventure,81
226,                                        PC,platformer,Eets,81
227,                                        PSP,platformer,The 2D Adventures of Rotating Octopus Character,81
228,                                        GameCube,platformer,Donkey Kong Jungle Beat,80
