,platform,genre,title,score
221,                                        PC,third-person,Transformers: Fall of Cybertron,78
222,                                        PC,third-person,Vanquish,78
223,                                        iOS,third-person,Back to the Future Ep 1 HD,78
224,                                        Xbox,third-person,Conker: Live & Reloaded,78
225,                                        PC,third-person,Teleglitch: Die More Edition,78
226,                                        Xbox,third-person,Hitman: Contracts,78
227,                                        PC,third-person,Two Worlds II: Pirates of the Flying Fortress,78
228,                                        PlayStation 3,third-person,Call of Duty Classic,78
229,                                        Xbox 360,third-person,Lost Planet: Extreme Condition Colonies Edition,78
230,                                        PC,third-person,Dead Space 3,78
231,                                        Xbox One,third-person,Marvel's Guardians of the Galaxy - Episode 2: Under Pressure,78
232,                                        Xbox One,third-person,Spellbreak,78
233,                                        PC,third-person,Remnant: From the Ashes,78
234,                                        PC,third-person,Armed and Dangerous,78
235,                                        PlayStation 4,third-person,Fortnite,78
236,                                        PC,third-person,Marvel's Guardians of the Galaxy: The Telltale Series,78
237,                                        PlayStation 4,third-person,Heavy Rain,78
238,                                        Xbox One,third-person,The Walking Dead: Michonne - Episode 2: Give No Shelter,78
239,                                        PC,third-person,Heavy Metal: F.A.K.K. 2,78
240,                                        Game Boy Advance,third-person,Max Payne,78
241,                                        PC,third-person,Remnant: From the Ashes - Subject 2923,78
242,                                        PC,third-person,Plants vs Zombies: Garden Warfare,78
243,                                        PC,third-person,RiME,78
244,                                        Xbox 360,third-person,Dead Space 3,78
245,                                        PlayStation 4,third-person,ABZU,78
246,                                        iOS,third-person,Back to the Future Ep 5 HD,78
247,                                        iOS,third-person,Grim Fandango Remastered,78
248,                                        PlayStation 4,third-person,Plants vs. Zombies: Battle for Neighborville,77
249,                                        PlayStation 3,third-person,Starhawk,77
250,                                        PC,third-person,Al Emmo and the Lost Dutchman's Mine,77
251,                                        PC,third-person,Alien Swarm,77
252,                                        Xbox 360,third-person,Gears of War 3: RAAM's Shadow,77
253,                                        PSP,third-person,Killzone: Liberation,77
254,                                        Xbox One,third-person,11-11: Memories Retold,77
255,                                        PC,third-person,Plants vs. Zombies: Battle for Neighborville,77
256,                                        PC,third-person,Tales of Monkey Island Chapter 2: The Siege of Spinner Cay,77
257,                                        Xbox 360,third-person,World of Tanks: Xbox 360 Edition,77
