,platform,genre,title,score
158,                                        Xbox One,adventure,The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back,85
159,                                        PC,adventure,3 out of 10,85
160,                                        PC,adventure,Indigo Prophecy,85
161,                                        PC,adventure,Sam & Max Episode 204: Chariots of the Dogs,85
162,                                        PC,adventure,Machinarium,85
163,                                        iOS,adventure,Junk Jack,85
164,                                        PC,adventure,The Wolf Among Us: Episode 1 - Faith,85
165,                                        iOS,adventure,Tentacles: Enter the Dolphin,85
166,                                        DS,adventure,Professor Layton and the Curious Village,85
167,                                        PC,adventure,The Walking Dead: Episode 3 - Long Road Ahead,85
168,                                        iOS,adventure,Incoboto,85
169,                                        PC,adventure,Batman: The Enemy Within - Episode 5: Same Stitch,85
170,                                        PC,adventure,Ghost Giant,85
171,                                        iOS,adventure,Out There,85
172,                                        iOS,adventure,The Pillars of the Earth Game,85
173,                                        PlayStation 3,adventure,Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,85
174,                                        Xbox 360,adventure,The Wolf Among Us: Episode 5 - Cry Wolf,85
175,                                        iOS,adventure,Phoenix Wright: Ace Attorney - Dual Destinies,85
176,                                        Switch,adventure,Steins;Gate Elite,85
177,                                        PC,adventure,The Last Door: Season 2,85
178,                                        iOS,adventure,Sorcery!,85
179,                                        PC,adventure,Nancy Drew: The Haunted Carousel,85
180,                                        PC,adventure,"Papers, Please",85
181,                                        PC,adventure,Obsidian,85
182,                                        PlayStation 4,adventure,Gone Home: Console Edition,85
183,                                        PC,adventure,The Walking Dead: Episode 2 - Starved for Help,84
184,                                        PlayStation 4,adventure,Statik,84
185,                                        Switch,adventure,Keep Talking and Nobody Explodes,84
186,                                        Wii,adventure,Tales of Monkey Island Chapter 4: The Trial and Execution of Guybrush Threepwood,84
187,                                        iOS,adventure,Aquaria,84
188,                                        PlayStation 4,adventure,Red Matter,84
189,                                        Switch,adventure,Hypnospace Outlaw,84
190,                                        PC,adventure,If Found...,84
191,                                        iOS,adventure,Broken Sword: Director's Cut HD,84
192,                                        iOS,adventure,Azkend 2 HD - The World Beneath,84
193,                                        iOS,adventure,The Walking Dead: 400 Days,84
194,                                        PC,adventure,Rakuen,84
195,                                        PC,adventure,Sam & Max Save the World Remastered,84
196,                                        iOS,adventure,The Adventures of Tintin: The Secret of the Unicorn - The Game,84
197,                                        PlayStation Vita,adventure,Three Fourths Home: Extended Edition,84
198,                                        PC,adventure,Tales From The Borderlands: Episode 1 - Zer0 Sum,84
199,                                        PlayStation Vita,adventure,Steins;Gate 0,84
200,                                        PC,adventure,Mythic Ocean,84
201,                                        Switch,adventure,80 DAYS,84
202,                                        PlayStation 4,adventure,Day of the Tentacle Remastered,84
203,                                        PC,adventure,80 Days (2015),84
204,                                        PC,adventure,Eliza,84
205,                                        PC,adventure,"Time Gentlemen, Please!",84
206,                                        Xbox 360,adventure,The Walking Dead: Episode 2 - Starved for Help,84
207,                                        PlayStation Vita,adventure,Grim Fandango Remastered,84
208,                                        DS,adventure,Spotto!,84
209,                                        PC,adventure,Bulb Boy,84
210,                                        iOS,adventure,South of the Circle,84
211,                                        PC,adventure,Lair of the Clockwork God,84
212,                                        PlayStation 3,adventure,The Walking Dead: Episode 1 - A New Day,84
213,                                        iOS,adventure,Gesundheit!,84
214,                                        Xbox One,adventure,Thimbleweed Park,84
215,                                        PlayStation 3,adventure,The Walking Dead: Episode 2 - Starved for Help,84
216,                                        PlayStation 3,adventure,Lara Croft and the Guardian of Light,84
217,                                        Xbox One,adventure,Welcome to Elk,84
218,                                        Xbox One,adventure,Stories Untold,84
219,                                        Xbox,adventure,Indigo Prophecy,84
220,                                        PC,adventure,Grim Fandango Remastered,84
221,                                        PC,adventure,Thimbleweed Park,84
222,                                        PlayStation Vita,adventure,Minecraft: PlayStation Vita Edition,84
223,                                        Xbox 360,adventure,The Walking Dead: Season Two Episode 5 - No Going Back,84
224,                                        PlayStation Vita,adventure,Zero Escape: Virtue's Last Reward,84
225,                                        PC,adventure,Telling Lies,84
