platform,genre,title,score
PC,Action,Zeit 2 Review,8
PC,Action,Battlefield: Bad Company 2 Vietnam Review,8.5
PC,Action,World of Warcraft: Cataclysm Review,8.5
PC,Action,Super Meat Boy Review,9.5
PC,Action,Dead Rising 2 Review,8.5
PC,Action,Mafia II: Joe's Adventures Review,6
PC,Action,The Ball Review,5.5
PC,Action,Call of Duty: Black Ops Review,9
PC,Action,James Bond 007: Blood Stone Review,7.5
PC,Action,Star Wars: The Force Unleashed II Review,5.5
PC,Action,Lost Planet 2 Review,7
PC,Action,Medal of Honor Review,7.5
PC,Action,Amnesia: The Dark Descent Review,8.5
PC,Action,Lara Croft and the Guardian of Light Review,8.5
PC,Action,Darksiders Review,8
PC,Action,Mafia II: Jimmy's Vendetta Review,6
PC,Action,Mass Effect 2: Lair of the Shadow Broker Review,8.5
PC,Action,Razor 2: Hidden Skies Review,5
PC,Action,Mafia II Review,8.5
PC,Action,Puzzle Quest 2 Review,8
PC,Action,Kane & Lynch 2: Dog Days Review,6.5
PC,Action,Alter Ego Review,3.5
PC,Action,Blacklight: Tango Down Review,6.5
PC,Action,Prince of Persia: The Forgotten Sands Review,7.5
PC,Action,ArmA II: Operation Arrowhead Review,8.5
PC,Action,Sniper: Ghost Warrior Review,5.5
PC,Action,Transformers: War for Cybertron Review,6.5
PC,Action,LEGO Harry Potter: Years 1-4 Review,8
PC,Action,Singularity Review,8
PC,Action,Mass Effect 2: Overlord Review,8.5
PC,Action,Plain Sight Review,8
PC,Action,Tom Clancy's Splinter Cell: Conviction - Deniable Ops Insurgency Pack Review,7.5
PC,Action,Guns of Icarus Review,4
PC,Action,Serious Sam HD: The Second Encounter Review,7.5
PC,Action,Tom Clancy's Splinter Cell: Conviction Review,6.5
PC,Action,test Review,7.6
PC,Action,Beat Hazard Review,7
PC,Action,Lead and Gold: Gangs of the Wild West Review,7
PC,Action,Mass Effect 2: Kasumi - Stolen Memory Review,6.5
PC,Action,Shatter Review,8
PC,Action,Just Cause 2 Review,8.5
PC,Action,Metro 2033 Review,8
PC,Action,Assassin's Creed II Review,8
PC,Action,Battlefield: Bad Company 2 Review,9
PC,Action,Aliens vs. Predator Review,5.5
PC,Action,S.T.A.L.K.E.R.: Call of Pripyat Review,8
PC,Action,Mass Effect 2 Review,9
PC,Action,Dark Void Review,6.5
PC,Action,Twin Sector Review,4
PC,Action,Divinity II: Ego Draconis Review,6.5
PC,Action,Star Trek: D-A-C Review,5
PC,Action,Serious Sam HD: The First Encounter Review,5
PC,Action,Rogue Warrior Review,2
PC,Action,James Cameron's Avatar: The Game Review,5.5
PC,Action,Ninja Blade Review,7
PC,Action,Left 4 Dead 2 Review,9
PC,Action,Call of Duty: Modern Warfare 2 Review,8.5
PC,Action,Shattered Horizon Review,7.5
PC,Action,Borderlands Review,8.5
PC,Action,Painkiller: Resurrection Review,3.5
PC,Action,Torchlight Review,8
PC,Action,Dreamkiller Review,5
PC,Action,Risen Review,7
PC,Action,Lucidity Review,5.5
PC,Action,Red Faction: Guerrilla Review,8.5
PC,Action,Star Wars: The Clone Wars: Republic Heroes Review,3.5
PC,Action,Mini Ninjas Review,7.5
PC,Action,Resident Evil 5 Review,8.5
PC,Action,Darkest of Days Review,4.5
PC,Action,CrimeCraft Review,6
PC,Action,Section 8 Review,7
PC,Action,Batman: Arkham Asylum Review,9
PC,Action,Raven Squad Review,3
PC,Action,All Aspect Warfare Review,2.5
PC,Action,Wolfenstein Review,7.5
PC,Action,East India Company Review,6.5
PC,Action,Bionic Commando Review,5.5
PC,Action,Overlord II Review,7.5
PC,Action,Death to Spies: Moment of Truth Review,6.5
PC,Action,Arma II Review,8
PC,Action,Street Fighter IV Review,9
PC,Action,Trine Review,7.5
PC,Action,Transformers: Revenge of the Fallen Review,6
PC,Action,Call of Juarez: Bound in Blood Review,8
PC,Action,Tunnel Rats: 1968 Review,2.5
PC,Action,Ghostbusters The Video Game Review,7
PC,Action,Prototype Review,8.5
PC,Action,Delta Force: Xtreme 2 Review,5
PC,Action,Damnation Review,3.5
PC,Action,Necrovision Review,7
PC,Action,Killing Floor Review,7.5
PC,Action,Terminator Salvation Review,5
PC,Action,X-Men Origins: Wolverine Review,7
PC,Action,Velvet Assassin Review,7.5
PC,Action,And Yet It Moves Review,7.5
PC,Action,Zeno Clash Review,6.5
PC,Action,Cryostasis: The Sleep of Reason Review,8
PC,Action,Flock Review,7
PC,Action,Dark Sector Review,7
PC,Action,The Chronicles of Riddick: Assault on Dark Athena Review,7
PC,Action,The Godfather II Review,4.5
PC,Action,Leisure Suit Larry: Box Office Bust Review,2.5
PC,Action,Watchmen: The End Is Nigh Review,6.5
PC,Action,ShellShock 2: Blood Trails Review,5.5
PC,Action,F.E.A.R. 2: Project Origin Review,7
PC,Action,Mirror's Edge Review,7
PC,Action,Saints Row 2 Review,6.5
PC,Action,Grand Theft Auto IV Review,9
PC,Action,World of Warcraft: Wrath of the Lich King Review,9
PC,Action,Prince of Persia Review,8
PC,Action,Legendary Review,3.5
PC,Action,Left 4 Dead Review,8.5
PC,Action,Sacred 2: Fallen Angel Review,7
PC,Action,Call of Duty: World at War Review,8.5
PC,Action,World of Goo Review,9
PC,Action,Dead Space Review,9
PC,Action,Bully: Scholarship Edition Review,6
PC,Action,Far Cry 2 Review,8.5
PC,Action,Brothers in Arms: Hell's Highway Review,8.5
PC,Action,Fate: Undiscovered Realms Review,7
PC,Action,Ubersoldier II: The End of Hitler Review,6.5
PC,Action,The Witcher Enhanced Edition Review,8.5
PC,Action,S.T.A.L.K.E.R.: Clear Sky Review,7
PC,Action,Crysis Warhead Review,9
PC,Action,Space Siege Review,5
PC,Action,Devil May Cry 4 Review,8
PC,Action,Insecticide Review,6
PC,Action,The Incredible Hulk Review,3.5
PC,Action,The Chronicles of Narnia: Prince Caspian Review,6
PC,Action,Lego Indiana Jones: The Original Adventures Review,8
PC,Action,Turok Review,6
PC,Action,Team Fortress 2 - Launch Review,8.5
PC,Action,Portal Review,9
PC,Action,Rainbow Six Vegas 2 Review,7
PC,Action,The Club Review,7
PC,Action,Assassin's Creed Review,8.5
PC,Action,Lost: Via Domus Review,6.5
PC,Action,Conflict: Denied Ops Review,6.5
PC,Action,Penumbra: Black Plague Review,8
PC,Action,Avencast: Rise of the Mage Review,7.5
PC,Action,Swashbucklers: Blue vs. Grey Review,4
PC,Action,Dawn of Magic Review,3
PC,Action,Soldier of Fortune: Payback Review,4.5
PC,Action,BlackSite: Area 51 Review,6.5
PC,Action,Unreal Tournament 3 Review,8.5
PC,Action,Beowulf: The Game Review,5
PC,Action,You Are Empty Review,1.5
PC,Action,F.E.A.R. Perseus Mandate Review,5.5
PC,Action,Crysis Review,9.5
PC,Action,Call of Duty 4: Modern Warfare Review,9
PC,Action,Gears of War Review,9
PC,Action,The Witcher Review,8.5
PC,Action,Painkiller: Overdose Review,7
PC,Action,TimeShift Review,6.5
PC,Action,Battlestar Galactica Review,5.5
PC,Action,Clive Barker's Jericho Review,6.5
PC,Action,Death to Spies Review,7
PC,Action,Loki: Heroes of Mythology Review,7
PC,Action,Spider-Man: Friend or Foe Review,7
PC,Action,Enemy Territory: Quake Wars Review,8.5
PC,Action,Stranglehold Review,7
PC,Action,Instinct Review,2
PC,Action,Medal of Honor: Airborne Review,7
PC,Action,BioShock Review,9
PC,Action,Driver: Parallel Lines Review,5.5
PC,Action,Tom Clancy's Ghost Recon Advanced Warfighter 2 Review,7
PC,Action,Terror Strike: Close Quarters Combat Review,5
PC,Action,Harry Potter and the Order of the Phoenix Review,5
PC,Action,Ratatouille Review,6
PC,Action,Overlord Review,7.5
PC,Action,Lost Planet: Extreme Condition Review,7
PC,Action,Call of Juarez Review,7
PC,Action,Monster Madness: Battle for Suburbia Review,5.1
PC,Action,Tomb Raider: Anniversary Review,8
PC,Action,Marine Sharpshooter III Review,2.4
PC,Action,Shadowrun Review,6.9
PC,Action,Halo 2 Review,7
PC,Action,Pirates of the Caribbean: At World's End Review,5.4
PC,Action,Resident Evil 4 Review,7.8
PC,Action,Infernal Review,5.9
PC,Action,Made Man Review,2.8
PC,Action,ArmA: Combat Operations Review,7
PC,Action,Spider-Man 3 Review,6.3
PC,Action,Penumbra: Overture -- Episode One Review,7.8
PC,Action,Dawnspire: Prelude Review,6.1
PC,Action,Disney's Meet the Robinsons Review,6.9
PC,Action,Etrom: The Astral Essence Review,2
PC,Action,Silverfall Review,6.5
PC,Action,The Mark Review,3
PC,Action,TMNT Review,6.4
PC,Action,S.T.A.L.K.E.R.: Shadow of Chernobyl Review,8.5
PC,Action,Alien Shooter: Vengeance Review,7.5
PC,Action,Tortuga - Two Treasures Review,4.8
PC,Action,Titan Quest: Immortal Throne Review,7.9
PC,Action,Knights of the Temple II Review,4.1
PC,Action,Battlefield 2142: Northern Strike Review,7.7
PC,Action,Geometry Wars: Retro Evolved Review,6.7
PC,Action,War Rock Review,5.5
PC,Action,Jade Empire: Special Edition Review,7.8
PC,Action,Close Quarters Conflict Review,4.1
PC,Action,DIRT - Origin of the Species Review,2
PC,Action,Patriots: A Nation Under Fire Review,2.9
PC,Action,World of Warcraft: The Burning Crusade Review,9.2
PC,Action,The Shield Review,3.9
PC,Action,DMZ: North Korea Review,2.3
PC,Action,Arthur and the Invisibles Review,7
PC,Action,Tom Clancy's Rainbow Six Vegas Review,8.7
PC,Action,History Channel: Civil War Review,5.5
PC,Action,Eragon Review,4.4
PC,Action,RoboBlitz Review,7
PC,Action,Bionicle Heroes Review,5.2
PC,Action,Snoopy vs. the Red Baron Review,7.3
PC,Action,Devil May Cry 3: Special Edition Review,7.1
PC,Action,Tom Clancy's Splinter Cell Double Agent Review,8
PC,Action,Jaws Unleashed Review,3.8
PC,Action,El Matador Review,5.1
PC,Action,Marvel: Ultimate Alliance Review,8.3
PC,Action,Dark Messiah of Might and Magic Review,6.7
PC,Action,F.E.A.R. Extraction Point Review,7.8
PC,Action,Reservoir Dogs Review,4.6
PC,Action,Battlefield 2142 Review,8.1
PC,Action,Mage Knight Apocalypse Review,4.4
PC,Action,Scarface: The World Is Yours Review,6
PC,Action,Open Season Review,5.3
PC,Action,Just Cause Review,7.2
PC,Action,American McGee Presents Bad Day LA Review,3
PC,Action,Lego Star Wars II Review,7.7
PC,Action,World War II Combat: Iwo Jima Review,2
PC,Action,Barnyard Review,7.1
PC,Action,Dungeon Siege II: Broken World Review,6.3
PC,Action,The Ant Bully Review,4.3
PC,Action,Warpath Review,5.7
PC,Action,Terrawars: New York Invasion Review,2.6
PC,Action,Outlaw Chopper Review,2.4
PC,Action,The Ship Review,8.3
PC,Action,Prey Review,7.5
PC,Action,Pirates of the Caribbean: The Legend of Jack Sparrow Review,6.2
PC,Action,Titan Quest Review,7.6
PC,Action,Soldier Elite Review,4.6
PC,Action,Battlefield 2: Armored Fury Review,7.4
PC,Action,Half-Life 2: Episode One Review,8.7
PC,Action,Hitman: Blood Money Review,8.2
PC,Action,Rogue Trooper Review,6.7
PC,Action,The Da Vinci Code Review,6.5
PC,Action,X-Men: The Official Game Review,5.6
PC,Action,Over the Hedge Review,5.6
PC,Action,SiN Episodes: Emergence Review,7.3
PC,Action,Tom Clancy's Ghost Recon Advanced Warfighter Review,7.8
PC,Action,Shadowgrounds Review,6.9
PC,Action,Call of Cthulhu: Dark Corners of the Earth Review,7.9
PC,Action,World War II Combat: Road to Berlin Review,2
PC,Action,Tomb Raider: Legend Review,7.8
PC,Action,Commandos Strike Force Review,5.7
PC,Action,Condemned: Criminal Origins Review,8.1
PC,Action,UberSoldier Review,4.6
PC,Action,Onimusha 3: Demon Siege Review,7.4
PC,Action,Red Orchestra: Ostfront 41-45 Review,7.9
PC,Action,True Crime: New York City Review,5.2
PC,Action,Battlefield 2: Euro Force Review,7.7
PC,Action,The Godfather Review,8.1
PC,Action,SWAT 4: The Stetchkov Syndicate Review,8.2
PC,Action,Tom Clancy's Rainbow Six: Lockdown Review,8
PC,Action,Marc Ecko's Getting Up: Contents Under Pressure Review,8.4
PC,Action,Curious George Review,6
PC,Action,Land of the Dead: Road to Fiddler's Green Review,2.1
PC,Action,WWII Tank Commander Review,5.2
PC,Action,Chrome SpecForce Review,5.2
PC,Action,25 to Life Review,5.6
PC,Action,Pac-Man World 3 Review,6.3
PC,Action,Space Hack Review,5.8
PC,Action,Crime Life: Gang Wars Review,2.1
PC,Action,Prince of Persia: The Two Thrones Review,8.4
PC,Action,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe Review",6.9
PC,Action,Shrek SuperSlam Review,6.6
PC,Action,Stubbs the Zombie in Rebel Without a Pause Review,7.7
PC,Action,Starship Troopers Review,3.8
PC,Action,Peter Jackson's King Kong: The Official Game of the Movie Review,8.1
PC,Action,Harry Potter and the Goblet of Fire Review,7.3
PC,Action,Battlefield 2: Special Forces Review,8.1
PC,Action,Alien Shooter Review,6.4
PC,Action,Sniper Elite Review,7.6
PC,Action,The Matrix: Path of Neo Review,6.8
PC,Action,Gun Review,7.4
PC,Action,Cold War Review,6.5
PC,Action,Star Wars: Battlefront II Review,7.8
PC,Action,Astroblasters Review,7.3
PC,Action,Platypus Review,8
PC,Action,Call of Duty 2 Review,8.8
PC,Action,Vietcong 2 Review,6.9
PC,Action,Quake 4 Review,8
PC,Action,Conflict: Global Terror Review,6.2
PC,Action,F.E.A.R. Review,9.1
PC,Action,Bet on Soldier Review,3.1
PC,Action,Serious Sam II Review,6.9
PC,Action,Brothers in Arms: Earned in Blood Review,8.7
PC,Action,Total Overdose: A Gunslinger's Tale in Mexico Review,6.7
PC,Action,Day of Defeat: Source Review,8.1
PC,Action,Ultimate Spider-Man Review,7
PC,Action,The Suffering: Ties That Bind Review,7.2
PC,Action,X-Men Legends II: Rise of Apocalypse Review,8.1
PC,Action,Sacred Underworld Review,7
PC,Action,Heavy Weapon Deluxe Review,6.7
PC,Action,Gold Miner Joe Review,6.9
PC,Action,Cosmic Bugs Review,4.9
PC,Action,Chicken Invaders: The Next Wave Review,5.8
PC,Action,Ricochet Lost Worlds Recharged Review,8.1
PC,Action,Wik & the Fable of Souls Review,9
PC,Action,Slyder Adventures review,8.5
PC,Action,Panda Craze Review,7.2
PC,Action,Pacific Heroes Review,5.5
PC,Action,BloodRayne 2 Review,6
PC,Action,Advent Rising Review,6.3
PC,Action,Dungeon Siege II Review,7.9
PC,Action,Diner Dash Review,9.1
PC,Action,Charlie and the Chocolate Factory Review,2.5
PC,Action,Wrestling Spirit Review,7.3
PC,Action,Fantastic 4 Review,5.8
PC,Action,Boiling Point: Road to Hell Review,7
PC,Action,Fate Review,7.9
PC,Action,Battlefield 2 Review,9.3
PC,Action,Restricted Area Review,6.7
PC,Action,Area 51 Review,3.3
PC,Action,Madagascar Review,7
PC,Action,Delta Force: Xtreme Review,7.2
PC,Action,Grand Theft Auto: San Andreas Review,9
PC,Action,Special Forces: Nemesis Strike Review,5
PC,Action,Dungeon Lords Review,6.8
PC,Action,Stolen review,5.3
PC,Action,Pariah Review,6.3
PC,Action,Close Combat: First to Fight Review,7.3
PC,Action,Psychonauts Review,8.4
PC,Action,Obscure Review,6.1
PC,Action,Combat: Task Force 121 Review,5.4
PC,Action,Project: Snowblind Review,7.7
PC,Action,Doom 3: Resurrection of Evil Review,8.5
PC,Action,Elite Warriors: Vietnam Review,5
PC,Action,SWAT 4 Review,8.5
PC,Action,Lego Star Wars Review,7.6
PC,Action,Tom Clancy's Splinter Cell Chaos Theory Review,8.6
PC,Action,DRIV3R Review,3.8
PC,Action,Psychotoxic Review,4.1
PC,Action,Brothers in Arms: Road to Hill 30 Review,9
PC,Action,Judge Dredd: Dredd Versus Death Review,5.6
PC,Action,Mortyr 2 Review,6.1
PC,Action,Aerial Strike: The Yager Missions Review,6.3
PC,Action,Star Wars Republic Commando Review,8.7
PC,Action,Second Sight Review,7.3
PC,Action,Advanced Battlegrounds: The Future of Combat Review,6.2
PC,Action,The Punisher Review,6.5
PC,Action,Torrente Review,4.3
PC,Action,Forgotten Realms: Demon Stone Review,7.4
PC,Action,The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut Review,9.3
PC,Action,Prince of Persia: Warrior Within Review,8.6
PC,Action,Joint Operations: Escalation Review,7.6
PC,Action,World of Warcraft Review,9.5
PC,Action,Painkiller: Battle out of Hell Review,7.6
PC,Action,Half-Life 2 Review,9.2
PC,Action,Terrorist Takedown Review,3.2
PC,Action,Scrapland Review,7.6
PC,Action,Medal of Honor Pacific Assault Review,8.3
PC,Action,Men of Valor Review,7.9
PC,Action,Hidden & Dangerous 2: Sabre Squadron Review,7.3
PC,Action,Pitfall: The Lost Expedition Review,7
PC,Action,Conflict: Vietnam Review,6.1
PC,Action,Gish Review,8.2
PC,Action,Tribes: Vengeance Review,8.8
PC,Action,Shadow Ops: Red Mercury Review,6.2
PC,Action,Star Wars: Battlefront Review,7.9
PC,Action,Alpha Black Zero: Intrepid Protocol Review,5.1
PC,Action,Silent Hill 4: The Room Review,7.6
PC,Action,ShellShock: Nam '67 Review,5.4
PC,Action,Call of Duty: United Offensive Review,8.9
PC,Action,Army Men: Sarge's War Review,7
PC,Action,Marine Sharpshooter II: Jungle Warfare Review,5.3
PC,Action,Marine Heavy Gunner Review,5.1
PC,Action,Doom 3 Review,8.5
PC,Action,Catwoman Review,5.6
PC,Action,Kuma\War Review,4.1
PC,Action,Soldner: Secret Wars Review,5
PC,Action,Spider-Man 2 Review,5
PC,Action,Alias Review,5.5
PC,Action,Joint Operations: Typhoon Rising Review,8.2
PC,Action,The Suffering Review,7.6
PC,Action,Harry Potter and the Prisoner of Azkaban Review,7
PC,Action,Shrek 2 Review,4.5
PC,Action,Apocalyptica Review,3.1
PC,Action,Vietnam War: Ho Chi Minh Trail Review,5.7
PC,Action,Thief: Deadly Shadows Review,8.3
PC,Action,True Crime: Streets of LA Review,6.3
PC,Action,Total Extreme Warfare 2004 Review,7.7
PC,Action,Beyond Divinity Review,7.9
PC,Action,Beyond the Law: The Third Wave Review,3.7
PC,Action,Hitman: Contracts Review,7.6
PC,Action,Manhunt Review,8.3
PC,Action,Breed Review,4.2
PC,Action,Painkiller Review,8.5
PC,Action,Sacred Review,7.6
PC,Action,Midnight Nowhere Review,6.3
PC,Action,Mace Griffin Bounty Hunter Review,6.6
PC,Action,kill.switch Review,6
PC,Action,Dead Man's Hand Review,6.6
PC,Action,Tom Clancy's Splinter Cell Pandora Tomorrow Review,9.1
PC,Action,Counter-Strike: Condition Zero Review,6.8
PC,Action,Far Cry Review,9.2
PC,Action,Unreal Tournament 2004 Review,9.4
PC,Action,Battlefield Vietnam Review,8.5
PC,Action,Tom Clancy's Rainbow Six 3: Athena Sword Review,7.8
PC,Action,FireStarter Review,6.2
PC,Action,Alien Blast: The Encounter Review,3.3
PC,Action,FBI Hostage Rescue Review,1.9
PC,Action,Wars and Warriors: Joan of Arc Review,6.2
PC,Action,Vietcong: Fist Alpha Review,7.4
PC,Action,Delta Force - Black Hawk Down: Team Sabre Review,7.1
PC,Action,Unreal II: The Awakening Special Edition Review,7.9
PC,Action,Postal 2: Share the Pain Review,6.2
PC,Action,Blade and Sword Review,6.3
PC,Action,Delta Ops: Army Special Forces Review,2.1
PC,Action,Chaos Legion Review,4.5
PC,Action,Conflict: Desert Storm II - Back to Baghdad Review,6.3
PC,Action,Sinbad: Legend of the Seven Seas Review,5.7
PC,Action,One Must Fall: Battlegrounds Review,7.1
PC,Action,Western Outlaw: Wanted Dead or Alive Review,3
PC,Action,Gladiator: Sword of Vengeance Review,7.1
PC,Action,Legacy of Kain: Defiance Review,6.9
PC,Action,Bionicle Review,4.7
PC,Action,Terminator 3: War of the Machines Review,2
PC,Action,Teenage Mutant Ninja Turtles Review,6.3
PC,Action,Prince of Persia: The Sands of Time Review,8.9
PC,Action,Silent Hill 3 Review,7.6
PC,Action,Armed and Dangerous Review,7.3
PC,Action,Deus Ex: Invisible War Review,8
PC,Action,"Warhammer 40,000: Fire Warrior Review",4.3
PC,Action,Battle Engine Aquila Review,6.1
PC,Action,Beyond Good & Evil Review,8.3
PC,Action,Dead to Rights Review,7.2
PC,Action,XIII Review,6.4
PC,Action,The Hobbit Review,6.5
PC,Action,Contract J.A.C.K. Review,5.9
PC,Action,Dungeon Siege: Legends of Aranna Review,5.4
PC,Action,The Simpsons: Hit & Run Review,8
PC,Action,PlanetSide: Core Combat Review,6.4
PC,Action,Curse: The Eye of Isis Review,6.8
PC,Action,Pirate Hunter Review,7.1
PC,Action,The Lord of the Rings: The Return of the King Review,8
PC,Action,Chrome Review,7.2
PC,Action,Nosferatu: The Wrath of Malachi Review,7.5
PC,Action,Call of Duty Review,9
PC,Action,Hidden & Dangerous 2 Review,7.3
PC,Action,Celebrity Deathmatch Review,2.8
PC,Action,Max Payne 2: The Fall of Max Payne Review,9
PC,Action,BloodRayne Review,5.6
PC,Action,Halo: Combat Evolved Review,9
PC,Action,Savage: The Battle for Newerth Review,7.1
PC,Action,Medal of Honor Allied Assault Breakthrough Review,6.7
PC,Action,Freedom Fighters Review,9.3
PC,Action,Jedi Knight: Jedi Academy Review,8.4
PC,Action,Battlefield 1942: Secret Weapons of WWII Review,8.2
PC,Action,Cold Zero: No Mercy Review,7.3
PC,Action,Tron 2.0 Review,7.1
PC,Action,Chaser Review,8
PC,Action,State of Emergency Review,7.2
PC,Action,Mistmare Review,1.7
PC,Action,NAVY SEALs: Weapons of Mass Destruction Review,1.6
PC,Action,Emergency Fire Response Review,7.9
PC,Action,The Great Escape Review,6.1
PC,Action,Pirates of the Caribbean Review,7.6
PC,Action,Tomb Raider: The Angel of Darkness Review,6.1
PC,Action,Star Trek Elite Force II Review,7.9
PC,Action,Will Rock Review,6.7
PC,Action,The Hulk Review,7
PC,Action,Grand Theft Auto: Vice City Review,9.3
PC,Action,Day of Defeat Review,8.1
PC,Action,Enter the Matrix Review,6.3
PC,Action,Emergency 2: The Ultimate Fight for Life Review,5.5
PC,Action,Red Faction II Review,7
PC,Action,X2: Wolverine's Revenge Review,5.7
PC,Action,Purge Review,5.1
PC,Action,Postal 2 Review,4.8
PC,Action,Metal Gear Solid 2: Substance Review,7.8
PC,Action,Rayman 3: Hoodlum Havoc Review,8.1
PC,Action,New World Order Review,2.1
PC,Action,Vietcong Review,7.9
PC,Action,Indiana Jones and the Emperor's Tomb Review,7.2
PC,Action,Devastation Review,6.3
PC,Action,Enclave Review,6.7
PC,Action,Delta Force: Black Hawk Down Review,5.6
PC,Action,Grom: Terror in Tibet Review,3.8
PC,Action,Line of Sight: Vietnam Review,7
PC,Action,Tom Clancy's Rainbow Six 3: Raven Shield Review,8.7
PC,Action,Gods and Generals Review,1.2
PC,Action,IGI 2: Covert Strike Review,5.6
PC,Action,Harbinger Review,4.5
PC,Action,I Was An Atomic Mutant Review,6.8
PC,Action,Tom Clancy's Splinter Cell Review,8.7
PC,Action,Battlefield 1942: The Road to Rome Review,8.9
PC,Action,Unreal II: The Awakening Review,7.3
PC,Action,K-Hawk: Survival Instinct Review,5.7
PC,Action,Shadowflare: Episode One Review,4.1
PC,Action,Zanzarah: The Hidden Portal Review,7.6
PC,Action,James Bond 007: NightFire Review,6
PC,Action,Silent Hill 2 Review,6.2
PC,Action,Dragon's Lair 3D: Return to the Lair Review,5.3
PC,Action,Revolution Review,2.7
PC,Action,WWE Raw Review,5.7
PC,Action,Deadly Dozen: Pacific Theater Review,8.3
PC,Action,Medal of Honor Allied Assault: Spearhead Review,8.1
PC,Action,Iron Storm Review,7
PC,Action,Conflict: Desert Storm Review,4.8
PC,Action,The Lord of the Rings: The Fellowship of the Ring Review,5.7
PC,Action,America's Army: Operations Review,8.4
PC,Action,Taz Wanted Review,5.1
PC,Action,Batman: Vengeance Review,4.5
PC,Action,Hitman 2: Silent Assassin Review,8.6
PC,Action,U.S. Special Forces: Team Factor Review,4.6
PC,Action,Sniper: Path of Vengeance Review,2.4
PC,Action,Prisoner of War Review,7
PC,Action,Unreal Tournament 2003 Review,8.8
PC,Action,Incoming Forces Review,6.6
PC,Action,Tom Clancy's Ghost Recon: Island Thunder Review,8.1
PC,Action,Divine Divinity Review,8.6
PC,Action,No One Lives Forever 2: A Spy In H.A.R.M.'s Way Review,9.3
PC,Action,Arthur's Quest: Battle for the Kingdom Review,1.9
PC,Action,Battlefield 1942 Review,8.8
PC,Action,Farscape: The Game Review,3.5
PC,Action,Mafia Review,9.3
PC,Action,The Thing Review,7.7
PC,Action,Aliens vs. Predator 2 - Primal Hunt Review,5.5
PC,Action,Tsunami 2265 Review,2.6
PC,Action,Operation Flashpoint: Resistance Review,8.1
PC,Action,Delta Force: Task Force Dagger Review,4.2
PC,Action,Hero X Review,3.9
PC,Action,Hyperspace Delivery Boy! Review,7
PC,Action,Operation Blockade Review,3.6
PC,Action,Elite Forces: Navy SEALs Review,3.1
PC,Action,Gore: Ultimate Soldier Review,6.3
PC,Action,Extreme Paintbrawl 4 Review,2.4
PC,Action,The Sum of All Fears Review,7.2
PC,Action,Duke Nukem: Manhattan Project Review,7.9
PC,Action,Hired Team: Trial Gold Review,3.5
PC,Action,Soldier of Fortune II: Double Helix Review,8.3
PC,Action,Grand Theft Auto III Review,9.3
PC,Action,Combat Medic: Special Ops Review,4.2
PC,Action,Tactical Ops: Assault on Terror Review,6.2
PC,Action,Die Hard: Nakatomi Plaza Review,5.7
PC,Action,Spider-Man: The Movie PC Review,7.5
PC,Action,WWII: Desert Rats Review,7.3
PC,Action,Hitchcock: The Final Cut Review,5.8
PC,Action,Dungeon Siege Review,8.4
PC,Action,Carnivores: Cityscape Review,5.2
PC,Action,Global Operations Review,8.1
PC,Action,Blood Omen 2 Review,7.6
PC,Action,Jedi Knight II: Jedi Outcast Review,9
PC,Action,Tom Clancy's Ghost Recon: Desert Siege Review,8
PC,Action,Freedom Force Review,9
PC,Action,Shadow Force: Razor Unit Review,4.6
PC,Action,Command & Conquer Renegade Review,7.8
PC,Action,Druuna: Morbus Gravis Review,2.6
PC,Action,Beach Head 2002 Review,4.1
PC,Action,Betty Bad Review,4.5
PC,Action,Serious Sam: The Second Encounter Review,9.1
PC,Action,Darkened Skye Review,7.3
PC,Action,Medal of Honor: Allied Assault Review,9
PC,Action,Alcatraz: Prison Escape Review,1.6
PC,Action,Dig Dug: Deeper Review,4.5
PC,Action,Secret Service: In Harm's Way Review,6.7
PC,Action,Frank Herbert's Dune Review,3.3
PC,Action,Harry Potter and the Sorcerer's Stone Review,5.5
PC,Action,Soul Reaver 2 Review,8
PC,Action,Codename: Outbreak Review,5.4
PC,Action,Return to Castle Wolfenstein Review,9.2
PC,Action,Deadly Dozen Review,7.1
PC,Action,From Dusk Till Dawn Review,5.7
PC,Action,Tom Clancy's Ghost Recon Review,7.3
PC,Action,Tom Clancy's Rogue Spear: Black Thorn Review,6.9
PC,Action,Aliens Versus Predator 2 Review,8.7
PC,Action,Ms. Pac-Man: Quest for the Golden Maze Review,3.7
PC,Action,Project Eden Review,7.8
PC,Action,WWII Iwo Jima Review,4.3
PC,Action,The Typing of the Dead Review,7.5
PC,Action,Planet of the Apes Review,3.1
PC,Action,Throne of Darkness Review,7.1
PC,Action,Zax: The Alien Hunter Review,7.5
PC,Action,Clusterball Review,6.7
PC,Action,Spider-Man Review,6.6
PC,Action,Red Faction Review,7.9
PC,Action,Primal Prey Review,3.9
PC,Action,Operation Flashpoint: Cold War Crisis Review,8.7
PC,Action,Lightweight Ninja Review,3.9
PC,Action,Akimbo: Kung-Fu Hero Review,2.8
PC,Action,Vietnam 2: Special Assignment Review,3.4
PC,Action,Mega Man Legends Review,3.6
PC,Action,Max Payne Review,9.2
PC,Action,911 Fire Rescue Review,5.8
PC,Action,Alone in the Dark: The New Nightmare Review,5.6
PC,Action,Legends of Might and Magic Review,5.7
