,platform,title,score,genre
32,no platform,Big Conspiracy,86,tv
33,no platform,Heart's Ease,86,tv
34,no platform,Every Bad,86,tv
35,no platform,Beyond the Pale,86,tv
36,no platform,Off Off On,86,tv
37,no platform,U Kin B The Sun,86,tv
38,no platform,Kitchen Sink,86,tv
39,no platform,Island,86,tv
40,no platform,Gold Record,86,tv
41,no platform,Nick of Time,85,tv
42,no platform,Silver Ladders,85,tv
43,no platform,Hannah,85,tv
44,no platform,Acoustic,85,tv
45,no platform,Walking Proof,85,tv
46,no platform,No Dream,85,tv
47,no platform,Loom,85,tv
48,no platform,My Echo,85,tv
49,no platform,A Hero's Death,84,tv
50,no platform,Voices,84,tv
51,no platform,Forgotten Days,84,tv
52,no platform,"Mama, You Can Bet!",84,tv
53,no platform,A Celebration of Endings,84,tv
54,no platform,Blue Hearts,84,tv
55,no platform,Room for the Moon,84,tv
56,no platform,Mutable Set,84,tv
57,no platform,It Is What It Is,84,tv
58,no platform,RE-ANIMATOR,84,tv
59,no platform,Countless Branches,84,tv
60,no platform,Inner Song,84,tv
61,no platform,All Things Being Equal,84,tv
62,no platform,Coriky,84,tv
63,no platform,Motherhood,84,tv
64,no platform,Underneath,84,tv
65,no platform,Eternal Atake,84,tv
66,no platform,songs and instrumentals,84,tv
67,no platform,Suddenly,84,tv
68,no platform,What's Your Pleasure?,84,tv
69,no platform,Good Souls Better Angels,84,tv
70,no platform,Welcome to Hard Times,84,tv
71,no platform,We Are Sent Here by History,84,tv
72,no platform,Fantasize Your Ghost,83,tv
73,no platform,Petals for Armor,83,tv
74,no platform,Because of a Flower,83,tv
75,no platform,By the Fire,83,tv
76,no platform,Circles,83,tv
77,no platform,Your Life Is a Record,83,tv
78,no platform,Lament,83,tv
79,no platform,3.15.20,83,tv
80,no platform,Whole New Mess,83,tv
81,no platform,Dark Matter,83,tv
82,no platform,Pick Me Up Off the Floor,83,tv
83,no platform,Out of My Province,83,tv
84,no platform,Starting Over,83,tv
85,no platform,Never Will,83,tv
86,no platform,Working Men's Club,83,tv
87,no platform,Clockdust,83,tv
88,no platform,The Universe Inside,83,tv
89,no platform,A Written Testimony,83,tv
90,no platform,Night Network,83,tv
91,no platform,You Make Me Feel,83,tv
92,no platform,The Long Goodbye,83,tv
93,no platform,Lianne La Havas,83,tv
94,no platform,For Their Love,83,tv
95,no platform,Likewise,83,tv
96,no platform,Even in Exile,83,tv
97,no platform,Midnight Manor,83,tv
98,no platform,Head Above the Water,82,tv
99,no platform,Rejoice,82,tv
0,no platform,Nomadland,97,movie
1,no platform,Collective,96,movie
2,no platform,Soul,94,movie
3,no platform,Lovers Rock,94,movie
4,no platform,David Byrne’s American Utopia,93,movie
5,no platform,Time,91,movie
6,no platform,Never Rarely Sometimes Always,91,movie
7,no platform,Mangrove,90,movie
8,no platform,Hamilton,90,movie
9,no platform,First Cow,89,movie
10,no platform,Dick Johnson Is Dead,89,movie
11,no platform,City Hall,88,movie
12,no platform,Rewind,87,movie
13,no platform,What the Constitution Means to Me,87,movie
14,no platform,Ma Rainey's Black Bottom,86,movie
15,no platform,Wolfwalkers,86,movie
16,no platform,The Wolf House,86,movie
17,no platform,Welcome to Chechnya,86,movie
18,no platform,Divine Love,86,movie
19,no platform,The Father,86,movie
20,no platform,Vitalina Varela,86,movie
21,no platform,Crip Camp: A Disability Revolution,86,movie
22,no platform,Athlete A,85,movie
23,no platform,Nomad: In the Footsteps of Bruce Chatwin,85,movie
24,no platform,Black Is King,84,movie
25,no platform,"Red, White and Blue",84,movie
26,no platform,Boys State,84,movie
27,no platform,Beanpole,84,movie
28,no platform,On the Record,84,movie
29,no platform,The Vast of Night,84,movie
30,no platform,Our Time Machine,84,movie
31,no platform,I Wish I Knew,83,movie
32,no platform,Saint Frances,83,movie
33,no platform,Palm Springs,83,movie
34,no platform,Driveways,83,movie
